subject,subject_en,type
Unerwarteter Login-Fehler heute Morgen,Unexpected login error today,Incident
Anfrage nach Informationen zu digitalen Strategien im Bereich Markenwachstum und -entwicklung,Request for information on digital strategies in the field of market growth and development,Request
Technische Herausforderung,Technical challenge,Problem
Medizinische Datensicherheitsprobleme,Medical data security problems,Problem
[NO_SUBJECT],[NO_SUBJECT],Request
Datenanalysetools für Finanzinstitute,Data analysis tools for financial institutions,Request
Optimierung von Intel Optane Memory,Optimisation of Intel Optimised Optimization of Optimized Memory,Request
Update Ihre Datenanalyse-Tools heute,Update Ihre Datenanalyse-Tools heute,Change
dringendes Problem: Häufige Verbindungsstörungen bei Geräten und Anwendungen jüngst aufgetreten,Current problem: frequent connection interruptions in devices and applications have recently been reported,Incident
Support Anfrage,Support Request,Request
Integration von PostgreSQL - Unterstützung von Pluralsight,Integration of PostgreSQL - Support for Pluralsight,Request
Langsame Datenverarbeitung in Excel,Long-term data processing in Excel,Problem
Bekanntmachung zur Einbindung von DataRobot in die Oracle Datenbank 19c,Notification for connecting DataRobot to Oracle Database 19c,Request
bekannte Bedenken hinsichtlich jüngster Wahlkampagne,known concerns about the latest election campaign,Incident
Fallschutzverletzung bei medizinischen Daten,Case protection in medical data,Incident
Auffrischung der Software-Integration jetzt erforderlich,Update software integration is now required,Change
Vielen Geräten fehlt es an der Funktionalität.,Many devices are lacking in functionality.,Incident
Erweiterte Reporting-Funktionen sind notwendig,Advanced reporting functions are required,Change
Anfrage zur Unterstützung bei Datenunterschieden,Request for data exchange support,Problem
Kundendienst: Inkonsistente Kampagnenanalyse-Daten,Customer service: Inconsistent campaign analysis data,Incident
Hinweise zu den Schwierigkeiten mit der Datenverschlüsselung,References to the difficulties with the data encryption,Problem
Notwendige Unterstützung für Kampagnenprobleme,Necessary support for campaign problems,Incident
SAP ERP Analytiktools für Investitionsoptimierung,SAP ERP Analytic tools for investment optimisation,Request
Anfrage zur Detailierten Preisaufstellung und Funktionen für die Integration von Drupal Commerce,Request for detailed pricing and functions for the integration of Drupal Commerce,Request
Untersuchung unkonstanter Investment-Prognosen durch Datenanalyse-Nutzungstool,Research into unconstant investment projections by data analysis tool,Problem
Fehlermeldung zur Projektterminplanung,Error message for project schedule,Problem
Fokus auf die Audio-Qualität,Focus on Audio Quality,Incident
Probleme mit Datenanalysewerkzeugen,Problems with data analysis tools,Incident
Sicherheitsmaßnahmen für Krankenhaus-IT-Umgebungen,Safety measures for hospital IT environments,Request
Verlust von Vertrauen aufgrund von Datenausfällen im Krankenhaus-System,Loss of trust due to data loss in the hospital system,Problem
Blockade auf dem NAS-System,Blocked on the NAS system,Problem
Anfrage für die Verbesserung der Unterstützung des PostgreSQL-Datenbank-Servers,Request to improve the support of PostgreSQL database server,Change
Verbesserung von Investitionen durch Analytik,Improving investments by Analytics,Request
Versicherung medizinischer Datenbanken,Medical database insurance,Request
Anfrage für technische Unterstützung,Application for technical assistance,Incident
Fehler bei der Blackboard Learn Sync,Error in Blackboard Learning Sync,Problem
Unerwartete Kosten auf meiner letzten Rechnung,Unexpected costs on my last account,Problem
Optimierung der Rechnungsstellungsmöglichkeiten für Investitionsanalyse-Dienstleistungen,Optimisation of accounting options for investment analysis services,Request
Datenschutzverletzung,Data protection damage,Incident
Verbessern Sie die digitale Markenpräsenz online,Improve digital brand presence online,Change
Medizinische Unterstützung Anfordern,Medical support requirements,Request
Steigerung der Werkstationen erforderlich,Improving the jobs required,Change
Projektdaten fehlten nach der Aktualisierung,Project data failed after updating,Incident
Fragen zur Preisstruktur für Projektmanagement-SaaS-Funktionen,Price structure issues for project management SaaS functions,Request
Hilfe bei Verschlüsselungsmethoden empfehlen,Recommend help with encryption methods,Request
Hilfe bei technischen Problemen,Help in technical problems,Problem
Frage zur Datensicherheit,Question of data security,Request
Medizinische Datensicherheitsverletzung - Unterstützung benötigt,Medical data security damage - support is needed,Incident
Anfrage nach digitalen Strategien zur Markenförderung,Proposal for a Digital Strategy for the Promotion of Markets,Request
Digitale Kampagne entspricht den Vorhersagen,Digital Campaign is in line with the predictions,Problem
Optimierung von Investitionsportfolios für Finanzinstitute und Einrichtungen,Optimisation of investment portfolios for financial institutions and institutions,Request
Medizinische Daten erschienen unerwartet heute,Medical data appeared unexpectedly today,Incident
Fehler bei Investment Data Analytics Tool,Fehler bei Investment Data Analytics Tool,Incident
Hilfe bei Login-Problemen,Help with login problems,Problem
Optimierung von Investitionsentscheidungen durch Datenanalyse,Optimisation of investment centre decisions by data analysis,Request
Unterstützung erobernen,Accept support,Incident
Probleme bei digitalen Marketingkampagnen,Problems in digital marketing campaigns,Incident
Update der digitale Marke Präsenz,Update of the digital brand Presence,Change
Unerlaubter Zugriffskontakt auf Gesundheitssysteme registriert,Unauthorised access contact registered on health systems,Incident
Anfrage nach Unterstützung bei der Integration von Sage Accounting in digitale Marketingstrategien,Request for support for the integration of Sage Accounting in digital marketing strategies,Request
Nutzerhilfe,User-Agent,Incident
Integration von neuer Hardware und Software,Integration of new hardware and software,Change
Medizinische Unterstützung,Medical support,Change
Fehler bei digitalen Werkzeugen melden,Report a problem when using digital tools,Incident
Hinweis zur Startung virtueller Kampagnen,Note to start virtual campaigns,Incident
[NO_SUBJECT],[NO_SUBJECT],Problem
Fachliche Bezahloptionen verfügbar,Professional options available,Request
Probleme mit den Kampagnenmetriken,Problems with campaign metrics,Problem
Unbefugtes Zugriffsvorfall: Medizinische Daten in Gefahr,Inadmissibility of access: Medical data at risk,Incident
Kritischer Vorfall bei Medizinischen Daten und Dienstzugriff,Critical events in medical data and access to services,Incident
Fehler bei Rechnungsabrechnungsunterschieden identifiziert,Error while detecting calculation differences,Incident
Sichere Verwaltung medizinischer Daten,Safe management of medical data,Request
Probleme mit der Datenverschlüsselung,Data encryption problems,Incident
Probleme mit der ClickUp-Synchronisierung heute,Problems with ClickUp synchronization today,Problem
Entdeckte Datensperrung in Krankenhaus-Systemen,Disclosure of data in Hospital Systems,Problem
Suche nach Integrierungen für ClickUp mit Shopify und Symantec Endpoint Protection,Search for integrations for ClickUp with Shopify and Symantec Endpoint Protection,Request
Datensperrern in Krankenhaus-IT-Systemen,Data barriers in hospitals IT systems,Incident
Problem mit der Rechnungsstellung für das Signal-Abonnement,Problem with account setting for signal subscription,Incident
Bewerben Aktualisierung Digitale Marketing Werkzeuge,Apply Update Digital Marketing Tools,Change
Verschlüsselung medizinischer Daten hat unerwartet versagt,Could not close temporary folder: %s,Problem
Technische Anomaly in Investmentoptimierung,Technical anomaly in investment optimization,Incident
Systemausfälle,System Tray,Incident
Behandlung kryptografischer Sicherheitsprobleme in der medizinischen Datensicherheitssoftware,Treatment of cryptographic security problems in medical data security software,Incident
Optimierung Datenanalyse Investitionen,Optimisation Data Analysis Investments,Request
Zahlungsprobleme bei Software-Abonnements,Payment problems with software subscriptions,Problem
Frage zur Funktionsstörung bei Investment Data Analytics,Question of impairment at Investment Data Analytics,Problem
Frage nach digitalen Strategien für Markenwachstum,Question of digital strategies for brand growth,Request
Skalierbare Lösungen für Projektmanagement SaaS,Scalable solutions for project management SaaS,Request
Medizinische Datensatzerfassung identifiziert,Medical data collection identified,Incident
Implementierung der optimalen Werkzeuge für Projektmanagement,Implementing the optimal project management tools,Request
Autorisierte Zugriffsgründe für medizinische Datenbanken,Authorised access reasons for medical databases,Incident
Investment-Optimierungsmodelle fehlten unerwartet,investment optimization models failed unexpected,Incident
Probleme mit abstürzenden Software-Anwendungen,Problems with cutting-edge applications,Incident
Sicherheitsmaßnahmen für medizinische Datenlagerung in GitLab und PostgreSQL,Safety measures for medical data storage in GitLab and PostgreSQL,Request
Unterperformierende digitale Marketingkampagnen,Subforming digital marketing campaigns,Problem
Strategien zur Förderung des Markenwachstums der Produkte Mesh-Netzwerk und Smart-Medizinspender,Strategy to promote the growth of the market of the products Mesh Network and Smart Medical Provider,Request
Bericht über Datensperrung in Gesundheits-Systemen,Report on data blocking in health systems,Problem
Bericht über unerwarteten Dienstausfall heute,Report of today's unexpected service failure,Problem
Integration APIs für Projektmanagement,Integration APIs for Project Management,Request
Digitale Markengründungsmethoden,Digital labelling methods,Request
Probleme bei der Abonnementgebühr,Problems with the subscription fee,Incident
Sicherheitsmaßnahmen für Google Meet in Arztpraxisen,Safety measures for Google Meeting in Medical Practices,Request
Bericht über ungenaue Investmentprognosen,Report on unforeseen investment projections,Problem
Verlangsamerung der Beteiligungsmessindikatoren bei der Markenagentur,Ensuring participation indicators at the marketing agency,Problem
